subject,bw,thr,itd
2,1000.0,59.83333333,0.008
2,1000.0,59.5,0.0
2,1000.0,61.16666667,inf
2,50.0,54.83333333,inf
2,50.0,62.33333333,0.008
2,50.0,61.0,0.0
3,1000.0,64.0,0.0
3,1000.0,61.5,inf
3,1000.0,63.5,0.008
3,100.0,65.16666667,inf
3,100.0,63.5,0.0
3,100.0,64.16666667,0.008
3,200.0,66.16666667,0.008
3,200.0,64.5,inf
3,200.0,63.33333333,0.0
3,25.0,60.83333333,0.0
3,25.0,60.66666667,inf
3,25.0,58.5,0.008
3,50.0,60.33333333,inf
3,50.0,62.16666667,0.0
3,50.0,63.16666667,0.008
3,150.0,64.33333333,0.0
3,150.0,64.16666667,inf
3,150.0,62.0,0.008
3,100.0,63.5,0.0
3,100.0,59.16666667,0.008
3,100.0,62.33333333,inf
3,1000.0,60.83333333,0.0
3,1000.0,61.0,0.008
3,1000.0,61.5,inf
3,25.0,59.0,inf
3,25.0,59.5,0.0
3,25.0,59.5,0.008
3,150.0,63.33333333,0.0
3,150.0,62.5,inf
3,150.0,63.5,0.008
3,50.0,60.33333333,inf
3,50.0,57.83333333,0.0
3,50.0,58.0,0.008
3,200.0,63.83333333,inf
3,200.0,63.5,0.008
3,200.0,64.66666667,0.0
3,150.0,60.33333333,0.0
3,150.0,62.33333333,inf
3,150.0,62.0,0.008
3,200.0,62.0,0.0
3,200.0,63.16666667,inf
3,200.0,62.0,0.008
3,100.0,62.33333333,0.008
3,100.0,61.83333333,0.0
3,100.0,61.16666667,inf
3,25.0,55.83333333,0.0
3,25.0,56.83333333,inf
3,25.0,56.5,0.008
3,50.0,61.0,0.008
3,50.0,58.66666667,0.0
3,50.0,60.16666667,inf
3,1000.0,59.33333333,0.008
3,1000.0,63.66666667,0.0
3,1000.0,60.0,inf
3,100.0,61.33333333,0.008
3,100.0,59.66666667,inf
3,100.0,61.5,0.0
3,150.0,62.33333333,0.008
3,150.0,62.66666667,0.0
3,150.0,60.83333333,inf
3,25.0,57.83333333,0.008
3,25.0,58.16666667,0.0
3,25.0,55.33333333,inf
3,50.0,60.5,0.0
3,50.0,58.83333333,0.008
3,50.0,57.66666667,inf
3,200.0,63.0,0.0
3,200.0,60.16666667,inf
3,200.0,61.0,0.008
3,1000.0,61.66666667,0.008
3,1000.0,61.66666667,0.0
3,1000.0,57.66666667,inf
4,1000.0,61.83333333,0.008
4,1000.0,59.33333333,inf
4,1000.0,63.83333333,0.0
4,25.0,60.16666667,0.0
4,25.0,56.5,inf
4,25.0,60.16666667,0.008
4,200.0,62.83333333,inf
4,200.0,65.33333333,0.0
4,200.0,64.5,0.008
4,100.0,64.0,0.0
4,100.0,60.5,inf
4,100.0,62.16666667,0.008
4,50.0,63.16666667,0.008
4,50.0,59.5,0.0
4,50.0,61.33333333,inf
4,150.0,60.0,0.008
4,150.0,59.16666667,inf
4,150.0,62.66666667,0.0
4,150.0,62.0,0.0
4,150.0,61.5,inf
4,150.0,62.33333333,0.008
4,50.0,60.16666667,inf
4,50.0,59.66666667,0.0
4,50.0,59.66666667,0.008
4,1000.0,59.16666667,inf
4,1000.0,59.66666667,0.008
4,1000.0,62.5,0.0
4,100.0,60.5,0.0
4,100.0,61.66666667,inf
4,100.0,60.83333333,0.008
4,25.0,54.5,inf
4,25.0,58.33333333,0.0
4,25.0,56.66666667,0.008
4,200.0,60.83333333,inf
4,200.0,63.83333333,0.0
4,200.0,63.0,0.008
4,100.0,62.16666667,0.008
4,100.0,60.0,0.0
4,100.0,60.5,inf
4,200.0,61.83333333,0.0
4,200.0,59.16666667,inf
4,200.0,59.33333333,0.008
4,150.0,60.83333333,0.008
4,150.0,61.16666667,0.0
4,150.0,59.83333333,inf
4,1000.0,59.0,0.008
4,1000.0,59.0,0.0
4,1000.0,59.66666667,inf
4,25.0,57.16666667,inf
4,25.0,57.5,0.0
4,25.0,57.33333333,0.008
4,50.0,60.0,0.0
4,50.0,60.5,0.008
4,50.0,58.83333333,inf
4,1000.0,58.66666667,0.008
4,1000.0,59.16666667,0.0
4,1000.0,59.5,inf
4,150.0,61.0,0.0
4,150.0,60.5,0.008
4,150.0,59.0,inf
4,50.0,61.5,0.0
4,50.0,60.5,inf
4,50.0,61.83333333,0.008
4,100.0,60.33333333,0.008
4,100.0,56.66666667,0.0
4,100.0,58.16666667,inf
4,25.0,55.83333333,0.0
4,25.0,56.5,inf
4,25.0,58.66666667,0.008
4,200.0,63.33333333,0.0
4,200.0,61.33333333,0.008
4,200.0,60.83333333,inf
5,1000.0,56.5,0.0
5,1000.0,58.0,0.008
5,1000.0,60.16666667,inf
5,1000.0,60.5,0.008
5,1000.0,56.83333333,inf
5,1000.0,58.83333333,0.0
5,1000.0,58.83333333,0.008
5,1000.0,61.83333333,0.0
5,1000.0,58.66666667,inf
5,1000.0,60.0,0.008
5,1000.0,61.66666667,0.0
5,1000.0,60.5,inf
5,50.0,59.16666667,inf
5,50.0,58.83333333,0.008
5,50.0,59.16666667,0.0
5,50.0,58.5,inf
